position |    rank    |           player_name            | points | wins | loses | played | winrate
     178 | major      | Axiom                            |   1207 |  698 |   558 |   1256 |      55
     179 | major      | JoeBob                           |   1206 |   22 |    20 |     42 |      52
     180 | major      | winstr8                          |   1205 |   32 |    16 |     48 |      66
     181 | major      | 10alis                           |   1205 |   36 |    23 |     59 |      61
     182 | major      | Flypower01                       |   1205 |   97 |    91 |    188 |      51
     183 | major      | TheMadman1313                    |   1204 |   45 |    43 |     88 |      51
     184 | major      | darkvader91                      |   1203 |  132 |   118 |    250 |      52
     185 | major      | lars92585                        |   1201 |  258 |   147 |    405 |      63
     186 | major      | Chap                             |   1200 |   65 |    46 |    111 |      58
     187 | major      | Spohammer                        |   1195 |  633 |   574 |   1207 |      52
     188 | major      | onitankx1                        |   1195 |   13 |     2 |     15 |      86
     189 | major      | AsianPeenusBeatU!                |   1191 |   16 |    10 |     26 |      61
     190 | major      | qwerty1776                       |   1190 |  189 |   145 |    334 |      56
     191 | major      | Aezwozere                        |   1187 |   33 |    17 |     50 |      66
     192 | major      | mateuszppp                       |   1186 |   40 |    30 |     70 |      57
     193 | major      | ultrafresh                       |   1183 |   24 |    14 |     38 |      63
     194 | major      | *General*                        |   1183 |   23 |    18 |     41 |      56
     195 | major      | Elivyndyr                        |   1182 |   11 |     8 |     19 |      57
     196 | major      | Barbie of Death                  |   1178 |  118 |   110 |    228 |      51
     197 | major      | WhoCreatedTheSun                 |   1178 |  189 |   170 |    359 |      52
     198 | major      | gerr                             |   1177 |   17 |     7 |     24 |      70
     199 | major      | nona_sf_cat                      |   1174 |  130 |   124 |    254 |      51
     200 | major      | Cashew (CCC)                     |   1172 |   45 |    32 |     77 |      58
